Abbrev	Canonical Name	ESPN Full Display Name	ESPN Conference String
ALA	Alabama	Alabama Crimson Tide	Southeastern Conference
ARK	Arkansas	Arkansas Razorbacks	Southeastern Conference
AUB	Auburn	Auburn Tigers	Southeastern Conference
FLA	Florida	Florida Gators	Southeastern Conference
UGA	Georgia	Georgia Bulldogs	Southeastern Conference
UK	Kentucky	Kentucky Wildcats	Southeastern Conference
LSU	LSU	LSU Tigers	Southeastern Conference
MSST	Mississippi State	Mississippi State Bulldogs	Southeastern Conference
MIZ	Missouri	Missouri Tigers	Southeastern Conference
OU	Oklahoma	Oklahoma Sooners	Southeastern Conference
MISS	Ole Miss	Ole Miss Rebels	Southeastern Conference
SCAR	South Carolina	South Carolina Gamecocks	Southeastern Conference
TENN	Tennessee	Tennessee Volunteers	Southeastern Conference
TEX	Texas	Texas Longhorns	Southeastern Conference
TAMU	Texas A&M	Texas A&M Aggies	Southeastern Conference
VAN	Vanderbilt	Vanderbilt Commodores	Southeastern Conference
ILL	Illinois	Illinois Fighting Illini	Big Ten Conference
IND	Indiana	Indiana Hoosiers	Big Ten Conference
IOWA	Iowa	Iowa Hawkeyes	Big Ten Conference
MD	Maryland	Maryland Terrapins	Big Ten Conference
MICH	Michigan	Michigan Wolverines	Big Ten Conference
MSU	Michigan State	Michigan State Spartans	Big Ten Conference
MINN	Minnesota	Minnesota Golden Gophers	Big Ten Conference
NEB	Nebraska	Nebraska Cornhuskers	Big Ten Conference
NW	Northwestern	Northwestern Wildcats	Big Ten Conference
OHST	Ohio State	Ohio State Buckeyes	Big Ten Conference
ORE	Oregon	Oregon Ducks	Big Ten Conference
PSU	Penn State	Penn State Nittany Lions	Big Ten Conference
PUR	Purdue	Purdue Boilermakers	Big Ten Conference
RUTG	Rutgers	Rutgers Scarlet Knights	Big Ten Conference
UCLA	UCLA	UCLA Bruins	Big Ten Conference
USC	USC	USC Trojans	Big Ten Conference
WASH	Washington	Washington Huskies	Big Ten Conference
WISC	Wisconsin	Wisconsin Badgers	Big Ten Conference
ARIZ	Arizona	Arizona Wildcats	Big 12 Conference
AZST	Arizona State	Arizona State Sun Devils	Big 12 Conference
BAY	Baylor	Baylor Bears	Big 12 Conference
BYU	BYU	BYU Cougars	Big 12 Conference
CIN	Cincinnati	Cincinnati Bearcats	Big 12 Conference
COLO	Colorado	Colorado Buffaloes	Big 12 Conference
HOU	Houston	Houston Cougars	Big 12 Conference
ISU	Iowa State	Iowa State Cyclones	Big 12 Conference
KAN	Kansas	Kansas Jayhawks	Big 12 Conference
KSU	Kansas State	Kansas State Wildcats	Big 12 Conference
OKST	Oklahoma State	Oklahoma State Cowboys	Big 12 Conference
TCU	TCU	TCU Horned Frogs	Big 12 Conference
TTU	Texas Tech	Texas Tech Red Raiders	Big 12 Conference
UCF	UCF	UCF Knights	Big 12 Conference
UTAH	Utah	Utah Utes	Big 12 Conference
WVU	West Virginia	West Virginia Mountaineers	Big 12 Conference
BC	Boston College	Boston College Eagles	Atlantic Coast Conference
CAL	California	California Golden Bears	Atlantic Coast Conference
CLEM	Clemson	Clemson Tigers	Atlantic Coast Conference
DUKE	Duke	Duke Blue Devils	Atlantic Coast Conference
FSU	Florida State	Florida State Seminoles	Atlantic Coast Conference
GT	Georgia Tech	Georgia Tech Yellow Jackets	Atlantic Coast Conference
