('1', 'Ohio St', '32.3')
('2', 'Oregon', '29.5')
('3', 'Notre Dame', '29.1')
('4', 'Indiana', '29.0')
('5', 'Georgia', '28.4')
('6', 'Texas', '28.4')
('7', 'Miami', '25.3')
('8', 'Texas Tech', '23.8')
('9', 'Texas A&amp;M', '22.7')
('10', 'Mississippi', '22.3')
('11', 'LSU', '22.1')
('12', 'Oklahoma', '22.0')
('13', 'Alabama', '21.6')
('14', 'USC', '20.9')
('15', 'Michigan', '19.8')
('16', 'Florida', '17.4')
('17', 'Tennessee', '16.8')
('18', 'Washington', '16.4')
('19', 'Penn St', '16.4')
('20', 'Missouri', '15.4')
('21', 'BYU', '14.6')
('22', 'SMU', '14.4')
('23', 'Iowa', '13.9')
('24', 'Louisville', '13.7')
('25', 'Auburn', '13.4')
('26', 'Utah', '12.8')
('27', 'South Carolina', '12.2')
('28', 'Clemson', '11.6')
('29', 'Houston', '10.6')
('30', 'Kansas St', '10.2')
('31', 'Pittsburgh', '10.0')
('32', 'Vanderbilt', '9.8')
('33', 'Illinois', '9.2')
('34', 'Virginia', '9.0')
('35', 'Kentucky', '8.9')
('36', 'Arizona St', '8.7')
('37', 'Arizona', '8.7')
('38', 'TCU', '8.4')
('39', 'Wisconsin', '8.4')
('40', 'UCLA', '8.2')
('41', 'Virginia Tech', '8.2')
('42', 'Minnesota', '8.1')
('43', 'Nebraska', '8.0')
('44', 'Florida St', '7.3')
('45', 'Oklahoma St', '6.7')
('46', 'Boise St', '6.7')
('47', 'Mississippi St', '6.4')
('48', 'NC State', '6.2')
('49', 'Georgia Tech', '5.8')
('50', 'Kansas', '5.4')
('51', 'Northwestern', '4.8')
('52', 'Arkansas', '4.7')
('53', 'Baylor', '4.6')
('54', 'West Virginia', '4.5')
('55', 'California', '4.0')
('56', 'UCF', '3.3')
('57', 'Maryland', '2.9')
('58', 'Wake Forest', '2.4')
('59', 'North Carolina', '2.1')
('60', 'Fresno St', '2.0')
('61', 'Duke', '1.9')
('62', 'San Diego St', '1.1')
('63', 'Navy', '0.9')
('64', 'Rutgers', '0.8')
('65', 'Cincinnati', '0.3')
('66', 'Iowa St', '0.0')
('67', 'Syracuse', '-0.2')
('68', 'Michigan St', '-0.3')
('69', 'UNLV', '-0.8')
('70', 'Army', '-1.2')
('71', 'Colorado', '-1.4')
('72', 'UTSA', '-1.5')
('73', 'J Madison', '-1.5')
('74', 'Memphis', '-1.5')
('75', 'Washington St', '-1.6')
('76', 'Texas St', '-2.0')
('77', 'New Mexico', '-2.1')
('78', 'Purdue', '-2.1')
('79', 'S Florida', '-2.4')
('80', 'North Dakota State', '-2.8')
('81', 'Tulane', '-2.8')
('82', 'Stanford', '-3.0')
('83', 'E Carolina', '-3.7')
('84', 'Utah St', '-3.8')
('85', 'Old Dominion', '-4.6')
('86', 'Boston College', '-6.2')
('87', 'Hawai&#039;i', '-6.3')
('88', 'Air Force', '-7.4')
('89', 'Troy', '-7.7')
('90', 'W Michigan', '-8.3')
('91', 'W Kentucky', '-8.4')
('92', 'Liberty', '-8.5')
('93', 'Toledo', '-8.6')
('94', 'Louisiana Tech', '-8.6')
('95', 'N Texas', '-8.7')
('96', 'Florida Atlantic', '-8.7')
('97', 'Marshall', '-8.8')
('98', 'Oregon St', '-10.0')
('99', 'Louisiana', '-10.3')
('100', 'Tulsa', '-10.3')
('101', 'Miami OH', '-10.6')
('102', 'Colorado St', '-10.7')
('103', 'Jacksonville St', '-10.7')
('104', 'S Alabama', '-10.8')
('105', 'Ohio', '-10.9')
('106', 'Temple', '-10.9')
('107', 'UConn', '-10.9')
('108', 'App State', '-10.9')
('109', 'Arkansas St', '-11.0')
('110', 'Georgia So', '-11.7')
('111', 'Delaware', '-12.5')
('112', 'C Michigan', '-12.6')
('113', 'Wyoming', '-13.3')
('114', 'Coastal Car', '-13.8')
('115', 'E Michigan', '-13.9')
('116', 'Kennesaw St', '-14.2')
('117', 'San Jose St', '-14.9')
('118', 'Florida Intl', '-15.0')
('119', 'Rice', '-15.2')
('120', 'Buffalo', '-16.5')
('121', 'Bowling Green', '-17.7')
('122', 'Southern Miss', '-17.7')
('123', 'Akron', '-17.9')
('124', 'Nevada', '-18.1')
('125', 'UAB', '-18.2')
('126', 'New Mexico St', '-18.4')
('127', 'Missouri St', '-18.9')
('128', 'Sacramento State', '-19.2')
('129', 'Georgia St', '-19.4')
('130', 'UL Monroe', '-19.8')
('131', 'N Illinois', '-20.6')
('132', 'Middle Tenn', '-20.9')
('133', 'UTEP', '-21.0')
('134', 'Kent St', '-22.1')
('135', 'Ball St', '-23.0')
('136', 'Charlotte', '-23.3')
('137', 'Sam Houston', '-24.1')
('138', 'UMass', '-28.5')
138
