rank	espn_name	canonical_abbrev	overall_sp_plus	off_component_unused	def_component_unused	st_component_unused
1	Ohio State	OHST	31.8	40.6 (2)	8.8 (1)	0.1 (67)
2	Oregon	ORE	28.3	40.7 (1)	12.6 (3)	0.3 (50)
3	Notre Dame	ND	25.8	40.2 (3)	14.6 (9)	0.3 (47)
4	Georgia	UGA	25.5	38.2 (5)	13.3 (5)	0.6 (3)
5	Indiana	IND	24.5	37.4 (9)	13.5 (6)	0.5 (22)
6	Texas	TEX	23.7	37.6 (7)	14.3 (8)	0.4 (31)
7	Texas Tech	TTU	23.1	37.6 (8)	14.7 (11)	0.2 (54)
8	Miami	MIA	21.0	34.4 (12)	13.7 (7)	0.3 (42)
9	Texas A&M	TAMU	20.3	37.3 (10)	16.7 (14)	-0.3 (99)
10	LSU	LSU	20.2	32.5 (21)	12.5 (2)	0.2 (53)
11	Alabama	ALA	18.2	31.3 (32)	12.6 (4)	-0.4 (109)
12	Oklahoma	OU	17.2	31.6 (27)	14.7 (10)	0.4 (33)
13	USC	USC	16.8	37.7 (6)	20.5 (29)	-0.3 (100)
14	Michigan	MICH	16.1	32.8 (20)	16.2 (13)	-0.5 (113)
15	Tennessee	TENN	16.0	38.7 (4)	23.0 (50)	0.4 (34)
16	Ole Miss	MISS	15.9	35.0 (11)	19.7 (25)	0.7 (1)
17	Penn St.	PSU	15.7	33.6 (14)	18.6 (23)	0.6 (6)
18	BYU	BYU	15.5	33.3 (16)	18.1 (20)	0.3 (45)
19	Florida	FLA	14.9	30.2 (39)	15.9 (12)	0.5 (17)
20	Missouri	MIZ	14.8	32.2 (24)	16.9 (15)	-0.5 (118)
21	Washington	WASH	14.5	32.4 (22)	17.6 (19)	-0.3 (96)
22	Iowa	IOWA	13.6	30.3 (38)	17.3 (17)	0.6 (10)
23	Clemson	CLEM	12.8	29.5 (48)	17.0 (16)	0.3 (41)
24	S. Carolina	SCAR	12.1	29.9 (44)	18.4 (21)	0.5 (19)
25	Utah	UTAH	11.9	33.0 (18)	21.1 (34)	0.0 (74)
