cell,change
QB VALUES!D7,Baseline value = 0
QB VALUES!F7,Active value = 0
QB VALUES!D8,Baseline value = 0
QB VALUES!F8,Active value = 0
QB VALUES!D10,Baseline value = 0
QB VALUES!F10,Active value = 0
QB VALUES!D11,Baseline value = 0
QB VALUES!F11,Active value = 0
QB VALUES!D12,Baseline value = 0
QB VALUES!F12,Active value = 0
QB VALUES!D13,Baseline value = 0
QB VALUES!F13,Active value = 0
QB VALUES!D14,Baseline value = 0
QB VALUES!F14,Active value = 0
QB VALUES!D15,Baseline value = 0
QB VALUES!F15,Active value = 0
QB VALUES!D16,Baseline value = 0
QB VALUES!F16,Active value = 0
QB VALUES!D17,Baseline value = 0
QB VALUES!F17,Active value = 0
QB VALUES!D19,Baseline value = 0
QB VALUES!F19,Active value = 0
QB VALUES!D20,Baseline value = 0
QB VALUES!F20,Active value = 0
QB VALUES!D22,Baseline value = 0
QB VALUES!F22,Active value = 0
QB VALUES!D23,Baseline value = 0
QB VALUES!F23,Active value = 0
QB VALUES!D25,Baseline value = 0
QB VALUES!F25,Active value = 0
QB VALUES!D26,Baseline value = 0
QB VALUES!F26,Active value = 0
QB VALUES!D27,Baseline value = 0
QB VALUES!F27,Active value = 0
QB VALUES!D28,Baseline value = 0
QB VALUES!F28,Active value = 0
QB VALUES!D30,Baseline value = 0
QB VALUES!F30,Active value = 0
QB VALUES!D31,Baseline value = 0
QB VALUES!F31,Active value = 0
QB VALUES!D32,Baseline value = 0
QB VALUES!F32,Active value = 0
QB VALUES!D33,Baseline value = 0
QB VALUES!F33,Active value = 0
QB VALUES!D34,Baseline value = 0
QB VALUES!F34,Active value = 0
QB VALUES!D36,Baseline value = 0
QB VALUES!F36,Active value = 0
QB VALUES!D37,Baseline value = 0
QB VALUES!F37,Active value = 0
QB VALUES!D38,Baseline value = 0
QB VALUES!F38,Active value = 0
QB VALUES!D39,Baseline value = 0
QB VALUES!F39,Active value = 0
QB VALUES!D56,Baseline value = 0
QB VALUES!F56,Active value = 0
QB VALUES!D57,Baseline value = 0
QB VALUES!F57,Active value = 0
QB VALUES!D58,Baseline value = 0
QB VALUES!F58,Active value = 0
QB VALUES!D59,Baseline value = 0
QB VALUES!F59,Active value = 0
QB VALUES!D60,Baseline value = 0
QB VALUES!F60,Active value = 0
QB VALUES!D61,Baseline value = 0
QB VALUES!F61,Active value = 0
QB VALUES!D62,Baseline value = 0
QB VALUES!F62,Active value = 0
QB VALUES!D63,Baseline value = 0
QB VALUES!F63,Active value = 0
QB VALUES!D64,Baseline value = 0
QB VALUES!F64,Active value = 0
QB VALUES!D66,Baseline value = 0
QB VALUES!F66,Active value = 0
QB VALUES!D67,Baseline value = 0
QB VALUES!F67,Active value = 0
QB VALUES!D70,Baseline value = 0
QB VALUES!F70,Active value = 0
QB VALUES!D71,Baseline value = 0
QB VALUES!F71,Active value = 0
QB VALUES!D72,Baseline value = 0
QB VALUES!F72,Active value = 0
QB VALUES!D40,Baseline value = 0
QB VALUES!F40,Active value = 0
QB VALUES!D41,Baseline value = 0
QB VALUES!F41,Active value = 0
QB VALUES!D42,Baseline value = 0
QB VALUES!F42,Active value = 0
QB VALUES!D43,Baseline value = 0
QB VALUES!F43,Active value = 0
QB VALUES!D44,Baseline value = 0
QB VALUES!F44,Active value = 0
QB VALUES!D45,Baseline value = 0
QB VALUES!F45,Active value = 0
QB VALUES!D46,Baseline value = 0
QB VALUES!F46,Active value = 0
QB VALUES!D47,Baseline value = 0
QB VALUES!F47,Active value = 0
QB VALUES!D49,Baseline value = 0
QB VALUES!F49,Active value = 0
QB VALUES!D50,Baseline value = 0
QB VALUES!F50,Active value = 0
QB VALUES!D51,Baseline value = 0
QB VALUES!F51,Active value = 0
QB VALUES!D53,Baseline value = 0
QB VALUES!F53,Active value = 0
QB VALUES!D54,Baseline value = 0
QB VALUES!F54,Active value = 0
QB VALUES!D55,Baseline value = 0
QB VALUES!F55,Active value = 0
QB VALUES!D81,Baseline value = 0
QB VALUES!F81,Active value = 0
QB VALUES!D82,Baseline value = 0
QB VALUES!F82,Active value = 0
QB VALUES!D83,Baseline value = 0
QB VALUES!F83,Active value = 0
QB VALUES!D84,Baseline value = 0
QB VALUES!F84,Active value = 0
QB VALUES!D86,Baseline value = 0
